id,created_by,name,description,address,latitude,longitude,spot_type,difficulty,surfaces,modules,is_verified,created_at,updated_at,likes_count,comments_count,image_url
goskate_4189269730,,Lydia Gold Skatepark,,"200 NW Cleveland Ave, Huntsville, AL 35801, United States",34.7373517,-86.5882944,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2023/12/Screenshot-2024-11-24-155926-1024x718-1.jpg
goskate_2382372870,,Cullman Skatepark,,"Cullman Skatepark, 601 2nd Ave NE, Cullman, AL 35055, United States",34.1821424,-86.8453738,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/CullmanSkateparkSpohnRanchManual_P-1536x914-1.jpg
goskate_4694728503,,Florence Skate Park,,"2500 Chisholm Rd, Florence, AL 35630, USA",34.8398646,-87.6745398,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/5977f2ab-a4e7-4dc1-9efd-5cd8f7f7247b.jpg
goskate_8725357499,,Brewton Skatepark,,"101 Persimmon St, Brewton, AL 36426, United States",31.1032275,-87.0737456,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/Screenshot-2024-11-25-185722.jpg
goskate_680571619,,Get-A-Way Skate Park,,"Get-A-Way Skate Park, Huntsville, AL, USA",34.6906818,-86.5842497,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/349324484_3486648901657195_1833023559608685149_n.jpg
goskate_4802409279,,City Walk Skatepark,,"1706 9th Ave N, Birmingham, AL 35203, United States",33.520966,-86.815589,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2023/12/2022-07-12t.jpeg
goskate_110920344,,Evan Casey Skate Park,,"311 Ballaine Blvd, Seward, AK 99664, United States",60.1034681,-149.4361166,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/ae4dd2ae-0139-49d3-8e7b-77491ac77a92.jpg
goskate_276820631,,Taku Lake Skate Park,,"8200 Stormy Pl, Anchorage, AK 99518, United States",61.1466405,-149.8855335,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/464904246_18471461614028327_2128416197424583466_n-1.jpg
goskate_3050702026,,Girdwood Skate Park,,"250 Egloff Dr, Girdwood, AK 99587, United States",60.9603037,-149.1357338,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/Parksoverview-1.jpg
goskate_8550955001,,Ketchikan Skatepark,,"Ketchikan Skatepark, 217 Schoenbar Rd, Ketchikan, AK 99901, United States",55.3437553,-131.6369749,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/76262ad0-6051-4036-85dc-1c733766f1a6.jpg
goskate_7551111333,,John Weaver Memorial Skatepark,,"2010 2nd Ave, Fairbanks, AK 99701, United States",64.8421892,-147.7640026,,,,,,,,,,
goskate_191277876,,Pipeline Skatepark,,"2400 Mendenhall Loop Rd, Juneau, AK 99801, United States",58.3678474,-134.5877726,,,,,,,,,,https://goskate.com/sp/wp-content/uploads/2024/11/7a4cc9f6-cb09-4664-8cc1-688e57330b10-1.jpg
